aircraft_num,aircraft_mindis,warship_num,warship_mindis,carrier_num,carrier_mindis
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,5585.025066546727
0.0,0.0,0.0,0.0,1.0,15797.375860735145
0.0,0.0,0.0,0.0,1.0,26007.498959036446
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
