aircraft_num,aircraft_mindis,warship_num,warship_mindis,carrier_num,carrier_mindis
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,17691.192534654823,0.0,0.0,0.0,0.0
1.0,17691.192534654823,0.0,0.0,0.0,0.0
1.0,17691.192534654823,0.0,0.0,0.0,0.0
1.0,17691.192534654823,0.0,0.0,0.0,0.0
1.0,17691.192534654823,0.0,0.0,0.0,0.0
1.0,17691.192534654823,0.0,0.0,0.0,0.0
1.0,17691.192534654823,0.0,0.0,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
1.0,17691.192534654823,1.0,6685.97327993048,0.0,0.0
0.0,0.0,1.0,6685.97327993048,0.0,0.0
0.0,0.0,1.0,6685.97327993048,0.0,0.0
0.0,0.0,1.0,6685.97327993048,0.0,0.0
0.0,0.0,1.0,6685.97327993048,0.0,0.0
0.0,0.0,1.0,6685.97327993048,0.0,0.0
0.0,0.0,1.0,6685.97327993048,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
